Especie,Origen,Sector,Nombre comun,Familia,Numero de individuos
"Musa acuminata x balbisiana ""Maqueño"" AAB",Introducido,Guayabillos,maqueño,Musaceae,1
"Musa acuminata x balbisiana ""Maqueño"" AAB",Introducido,Media Luna,maqueño,Musaceae,1
"Musa acuminata x balbisiana ""Maqueño"" AAB",Introducido,Santa Rosa,maqueño,Musaceae,2
"Musa acuminata x balbisiana ""Verde""",Introducido,Bellavista,"verde, barraganete, dominico, repe",Musaceae,4
"Musa acuminata x balbisiana ""Verde""",Introducido,Aguacatal,"verde, barraganete, dominico, repe",Musaceae,1
"Musa acuminata x balbisiana ""Verde""",Introducido,Camote,"verde, barraganete, dominico, repe",Musaceae,2
"Musa acuminata x balbisiana ""Verde""",Introducido,El Carmen,"verde, barraganete, dominico, repe",Musaceae,3
"Musa acuminata x balbisiana ""Verde""",Introducido,Cascajo,"verde, barraganete, dominico, repe",Musaceae,6
"Musa acuminata x balbisiana ""Verde""",Introducido,Occidente,"verde, barraganete, dominico, repe",Musaceae,4
"Musa acuminata x balbisiana ""Verde""",Introducido,Guayabillos,"verde, barraganete, dominico, repe",Musaceae,3
"Musa acuminata x balbisiana ""Verde""",Introducido,Media Luna,"verde, barraganete, dominico, repe",Musaceae,2
"Musa acuminata x balbisiana ""Verde""",Introducido,Santa Rosa,"verde, barraganete, dominico, repe",Musaceae,9
Neomarica gracilis,Introducido,Camote,"mano poderosa, malamadre",Iridaceae,1
Neomarica gracilis,Introducido,Cascajo,"mano poderosa, malamadre",Iridaceae,2
Neomarica gracilis,Introducido,Guayabillos,"mano poderosa, malamadre",Iridaceae,1
Neomarica gracilis,Introducido,Santa Rosa,"mano poderosa, malamadre",Iridaceae,1
Nephrolepis biserrata,Nativo,Bellavista,"helecho espada gigante, macho",Davalliaceae,2
Nephrolepis biserrata,Nativo,Camote,"helecho espada gigante, macho",Davalliaceae,3
Nephrolepis biserrata,Nativo,El Carmen,"helecho espada gigante, macho",Davalliaceae,2
Nephrolepis biserrata,Nativo,Occidente,"helecho espada gigante, macho",Davalliaceae,2
Nephrolepis biserrata,Nativo,Guayabillos,"helecho espada gigante, macho",Davalliaceae,2
Nephrolepis biserrata,Nativo,Santa Rosa,"helecho espada gigante, macho",Davalliaceae,6
Nephrolepis cordifolia,Introducido,Bellavista,helecho,Davalliaceae,1
Nephrolepis cordifolia,Introducido,El Carmen,helecho,Davalliaceae,1
Nephrolepis cordifolia,Introducido,Santa Rosa,helecho,Davalliaceae,1
Nephrolepis exaltata,Introducido,Bellavista,helecho  ornamental,Davalliaceae,1
Nephrolepis exaltata,Introducido,Cascajo,helecho  ornamental,Davalliaceae,1
Nephrolepis exaltata,Introducido,Guayabillos,helecho  ornamental,Davalliaceae,2
Nephrolepis pectinata,Nativo,El Carmen,helecho terrestre,Davalliaceae,1
Nephrolepis pectinata,Nativo,Occidente,helecho terrestre,Davalliaceae,1
Nerium oleander,Introducido,Santa Rosa,"laurel, laurel de jardín",Apocynaceae,1
Nicandra physalodes,Introducido,Cascajo,"tomatillo, huevo de tortuga, tomatillo de monte",Solanaceae,2
Nicandra physalodes,Introducido,Media Luna,"tomatillo, huevo de tortuga, tomatillo de monte",Solanaceae,1
Nicotiana tabacum,Introducido,Cascajo,tabaco,Solanaceae,1
Ochroma pyramidale,Introducido,Camote,balsa,Bombacaceae,1
Ochroma pyramidale,Introducido,El Carmen,balsa,Bombacaceae,1
Ochroma pyramidale,Introducido,Media Luna,balsa,Bombacaceae,2
Ochroma pyramidale,Introducido,Santa Rosa,balsa,Bombacaceae,2
Ocimum basilicum var. basilicum,Introducido,Bellavista,albaca verde,Lamiaceae,2
Ocimum basilicum var. basilicum,Introducido,Aguacatal,albaca verde,Lamiaceae,1
Ocimum basilicum var. basilicum,Introducido,Camote,albaca verde,Lamiaceae,2
Ocimum basilicum var. basilicum,Introducido,El Carmen,albaca verde,Lamiaceae,2
Ocimum basilicum var. basilicum,Introducido,Cascajo,albaca verde,Lamiaceae,5
Ocimum basilicum var. basilicum,Introducido,Occidente,albaca verde,Lamiaceae,3
Ocimum basilicum var. basilicum,Introducido,Guayabillos,albaca verde,Lamiaceae,2
Ocimum basilicum var. basilicum,Introducido,Media Luna,albaca verde,Lamiaceae,1
Ocimum basilicum var. basilicum,Introducido,Santa Rosa,albaca verde,Lamiaceae,3
Ocimum basilicum var. purpurascens,Introducido,El Carmen,albahaca morada,Lamiaceae,1
Ocimum basilicum var. purpurascens,Introducido,Occidente,albahaca morada,Lamiaceae,1
Ocimum basilicum var. purpurascens,Introducido,Guayabillos,albahaca morada,Lamiaceae,2
Ocimum basilicum var. purpurascens,Introducido,Santa Rosa,albahaca morada,Lamiaceae,1
Ocotea quixos,Introducido,Aguacatal,"canela amazónica, ishpink",Lauraceae,1
Ocotea quixos,Introducido,Santa Rosa,"canela amazónica, ishpink",Lauraceae,1
Odontonema cuspidatum,Introducido,Santa Rosa,NA,Acanthaceae,1
Ophioglossum reticulatum ,Nativo,Santa Rosa,lengua de serpiente,Ophioglossaceae,2
Oplismenus burmanii,Introducido,Media Luna,"grama de conejo, pelillo, zacatillo",Poaceae,1
Oplismenus compositus,Desconocido,Bellavista,pasto de selva,Poaceae,1
Oplismenus compositus,Desconocido,Guayabillos,pasto de selva,Poaceae,1
Opuntia echios var. gigantea,Endémico,Bellavista,tuna gigante,Cactaceae,1
Opuntia microdasys var. 1,Introducido,Camote,NA,Cactaceae,1
Opuntia monacantha ,Introducido,Camote,NA,Cactaceae,1
Opuntia monacantha ,Introducido,Occidente,NA,Cactaceae,1
Opuntia monacantha ,Introducido,Guayabillos,NA,Cactaceae,1
Origanum vulgare,Introducido,Camote,orégano pequeño,Lamiaceae,1
Origanum vulgare,Introducido,Cascajo,orégano pequeño,Lamiaceae,2
Origanum vulgare,Introducido,Occidente,orégano pequeño,Lamiaceae,1
Origanum vulgare,Introducido,Media Luna,orégano pequeño,Lamiaceae,1
Origanum vulgare,Introducido,Santa Rosa,orégano pequeño,Lamiaceae,1
Oxalis corniculata,Introducido,Bellavista,"vinagrillo, vinagrillo rastrero, acederilla",Oxalidaceae,5
Oxalis corniculata,Introducido,Aguacatal,"vinagrillo, vinagrillo rastrero, acederilla",Oxalidaceae,1
Oxalis corniculata,Introducido,Camote,"vinagrillo, vinagrillo rastrero, acederilla",Oxalidaceae,2
Oxalis corniculata,Introducido,El Carmen,"vinagrillo, vinagrillo rastrero, acederilla",Oxalidaceae,3
Oxalis corniculata,Introducido,Cascajo,"vinagrillo, vinagrillo rastrero, acederilla",Oxalidaceae,9
Oxalis corniculata,Introducido,Occidente,"vinagrillo, vinagrillo rastrero, acederilla",Oxalidaceae,2
Oxalis corniculata,Introducido,Guayabillos,"vinagrillo, vinagrillo rastrero, acederilla",Oxalidaceae,2
Oxalis corniculata,Introducido,Media Luna,"vinagrillo, vinagrillo rastrero, acederilla",Oxalidaceae,3
Oxalis corniculata,Introducido,Santa Rosa,"vinagrillo, vinagrillo rastrero, acederilla",Oxalidaceae,8
Oxalis debilis var. corymbosa,Introducido,Bellavista,trébol,Oxalidaceae,5
Oxalis debilis var. corymbosa,Introducido,Aguacatal,trébol,Oxalidaceae,1
Oxalis debilis var. corymbosa,Introducido,Camote,trébol,Oxalidaceae,3
Oxalis debilis var. corymbosa,Introducido,El Carmen,trébol,Oxalidaceae,3
Oxalis debilis var. corymbosa,Introducido,Cascajo,trébol,Oxalidaceae,4
Oxalis debilis var. corymbosa,Introducido,Occidente,trébol,Oxalidaceae,3
Oxalis debilis var. corymbosa,Introducido,Guayabillos,trébol,Oxalidaceae,2
Oxalis debilis var. corymbosa,Introducido,Media Luna,trébol,Oxalidaceae,3
Oxalis debilis var. corymbosa,Introducido,Santa Rosa,trébol,Oxalidaceae,7
Oxalis triangularis,Introducido,Occidente,NA,Oxalidaceae,1
Oxalis triangularis,Introducido,Santa Rosa,NA,Oxalidaceae,1
Pachystachys lutea,Introducido,Guayabillos,"rabito de gallo, flor de camarón",Acanthaceae,1
Panicum maximum,Introducido,Bellavista,"pasto sabolla, pasto Tanzania",Poaceae,2
Panicum maximum,Introducido,Aguacatal,"pasto sabolla, pasto Tanzania",Poaceae,1
Panicum maximum,Introducido,Camote,"pasto sabolla, pasto Tanzania",Poaceae,1
Panicum maximum,Introducido,El Carmen,"pasto sabolla, pasto Tanzania",Poaceae,3
Panicum maximum,Introducido,Cascajo,"pasto sabolla, pasto Tanzania",Poaceae,1
Panicum maximum,Introducido,Media Luna,"pasto sabolla, pasto Tanzania",Poaceae,2
Panicum maximum,Introducido,Santa Rosa,"pasto sabolla, pasto Tanzania",Poaceae,3
Panicum polygonatum,Introducido,Bellavista,pasto,Poaceae,3
Panicum polygonatum,Introducido,Aguacatal,pasto,Poaceae,1
Panicum polygonatum,Introducido,Camote,pasto,Poaceae,1
Panicum polygonatum,Introducido,El Carmen,pasto,Poaceae,2
Panicum polygonatum,Introducido,Cascajo,pasto,Poaceae,3
Panicum polygonatum,Introducido,Occidente,pasto,Poaceae,1
Panicum polygonatum,Introducido,Guayabillos,pasto,Poaceae,1
Panicum polygonatum,Introducido,Media Luna,pasto,Poaceae,2
Panicum polygonatum,Introducido,Santa Rosa,pasto,Poaceae,5
Paspalum conjugatum,Desconocido,Bellavista,pasto de burro,Poaceae,4
Paspalum conjugatum,Desconocido,Camote,pasto de burro,Poaceae,2
Paspalum conjugatum,Desconocido,El Carmen,pasto de burro,Poaceae,3
Paspalum conjugatum,Desconocido,Cascajo,pasto de burro,Poaceae,4
Paspalum conjugatum,Desconocido,Occidente,pasto de burro,Poaceae,3
Paspalum conjugatum,Desconocido,Guayabillos,pasto de burro,Poaceae,3
Paspalum conjugatum,Desconocido,Media Luna,pasto de burro,Poaceae,1
Paspalum conjugatum,Desconocido,Santa Rosa,pasto de burro,Poaceae,6
Paspalum paniculatum,Nativo,Cascajo,pasto,Poaceae,2
Paspalum paniculatum,Nativo,Media Luna,pasto,Poaceae,2
Paspalum paniculatum,Nativo,Santa Rosa,pasto,Poaceae,2
Passiflora colinvauxii,Endémico,Bellavista,granadilla silvestre,Passifloraceae,2
Passiflora colinvauxii,Endémico,Camote,granadilla silvestre,Passifloraceae,1
Passiflora colinvauxii,Endémico,El Carmen,granadilla silvestre,Passifloraceae,2
Passiflora colinvauxii,Endémico,Cascajo,granadilla silvestre,Passifloraceae,2
Passiflora colinvauxii,Endémico,Occidente,granadilla silvestre,Passifloraceae,2
Passiflora colinvauxii,Endémico,Guayabillos,granadilla silvestre,Passifloraceae,2
Passiflora colinvauxii,Endémico,Media Luna,granadilla silvestre,Passifloraceae,1
Passiflora colinvauxii,Endémico,Santa Rosa,granadilla silvestre,Passifloraceae,2
Passiflora edulis,Introducido,Bellavista,maracuyá,Passifloraceae,3
Passiflora edulis,Introducido,Aguacatal,maracuyá,Passifloraceae,1
Passiflora edulis,Introducido,Camote,maracuyá,Passifloraceae,3
Passiflora edulis,Introducido,El Carmen,maracuyá,Passifloraceae,4
Passiflora edulis,Introducido,Cascajo,maracuyá,Passifloraceae,6
Passiflora edulis,Introducido,Occidente,maracuyá,Passifloraceae,4
Passiflora edulis,Introducido,Guayabillos,maracuyá,Passifloraceae,3
Passiflora edulis,Introducido,Media Luna,maracuyá,Passifloraceae,1
Passiflora edulis,Introducido,Santa Rosa,maracuyá,Passifloraceae,5
Passiflora foetida var. galapagensis,Endémico,Cascajo,bedoca,Passifloraceae,1
Passiflora ligularis,Introducido,Cascajo,granadilla,Passifloraceae,1
Passiflora ligularis,Introducido,Santa Rosa,granadilla,Passifloraceae,2
Passiflora quadrangularis,Introducido,Camote,badea,Passifloraceae,1
Passiflora quadrangularis,Introducido,Occidente,badea,Passifloraceae,2
Passiflora quadrangularis,Introducido,Guayabillos,badea,Passifloraceae,1
Passiflora quadrangularis,Introducido,Media Luna,badea,Passifloraceae,1
Passiflora suberosa,Nativo,Bellavista,uvilla,Passifloraceae,2
Passiflora suberosa,Nativo,Aguacatal,uvilla,Passifloraceae,1
Passiflora suberosa,Nativo,Camote,uvilla,Passifloraceae,1
Passiflora suberosa,Nativo,Cascajo,uvilla,Passifloraceae,7
Passiflora suberosa,Nativo,Occidente,uvilla,Passifloraceae,1
Passiflora suberosa,Nativo,Guayabillos,uvilla,Passifloraceae,2
Passiflora suberosa,Nativo,Media Luna,uvilla,Passifloraceae,1
Passiflora suberosa,Nativo,Santa Rosa,uvilla,Passifloraceae,1
Pecluma dispersa,Nativo,Bellavista,NA,Polypodiaceae,2
Pecluma dispersa,Nativo,Aguacatal,NA,Polypodiaceae,1
Pecluma dispersa,Nativo,Camote,NA,Polypodiaceae,1
Pecluma dispersa,Nativo,El Carmen,NA,Polypodiaceae,2
Pecluma dispersa,Nativo,Occidente,NA,Polypodiaceae,2
Pecluma dispersa,Nativo,Guayabillos,NA,Polypodiaceae,1
Pecluma dispersa,Nativo,Santa Rosa,NA,Polypodiaceae,1
Pelargonium peltatum,Introducido,Camote,"geranio, geranio hiedra, gitanillo",Geraniaceae,1
Pelargonium x hortorum,Introducido,Bellavista,geranio,Geraniaceae,1
Pelargonium x hortorum,Introducido,Aguacatal,geranio,Geraniaceae,1
Pelargonium x hortorum,Introducido,Camote,geranio,Geraniaceae,1
Pelargonium x hortorum,Introducido,Cascajo,geranio,Geraniaceae,3
Pelargonium x hortorum,Introducido,Occidente,geranio,Geraniaceae,1
Pelargonium x hortorum,Introducido,Guayabillos,geranio,Geraniaceae,2
Pelargonium x hortorum,Introducido,Santa Rosa,geranio,Geraniaceae,1
Pennisetum purpureum,Introducido,Bellavista,pasto elefante,Poaceae,1
Pennisetum purpureum,Introducido,Camote,pasto elefante,Poaceae,3
Pennisetum purpureum,Introducido,El Carmen,pasto elefante,Poaceae,2
Pennisetum purpureum,Introducido,Cascajo,pasto elefante,Poaceae,6
Pennisetum purpureum,Introducido,Occidente,pasto elefante,Poaceae,1
Pennisetum purpureum,Introducido,Guayabillos,pasto elefante,Poaceae,1
Pennisetum purpureum,Introducido,Media Luna,pasto elefante,Poaceae,1
Pennisetum purpureum,Introducido,Santa Rosa,pasto elefante,Poaceae,5
Peperomia cf. fraseri,Introducido,Camote,NA,Piperaceae,1
Peperomia inaequalifolia,Endémico,Bellavista,"congonita, congona",Piperaceae,1
Peperomia inaequalifolia,Endémico,Camote,"congonita, congona",Piperaceae,3
Peperomia inaequalifolia,Endémico,El Carmen,"congonita, congona",Piperaceae,2
Peperomia inaequalifolia,Endémico,Cascajo,"congonita, congona",Piperaceae,2
Peperomia inaequalifolia,Endémico,Occidente,"congonita, congona",Piperaceae,1
Peperomia inaequalifolia,Endémico,Media Luna,"congonita, congona",Piperaceae,2
Peperomia inaequalifolia,Endémico,Santa Rosa,"congonita, congona",Piperaceae,7
Peperomia macrostachya,Introducido,Camote,NA,Piperaceae,1
Peperomia polybotrya,Introducido,Camote,NA,Piperaceae,1
Persea americana,Introducido,Bellavista,aguacate,Lauraceae,5
Persea americana,Introducido,Aguacatal,aguacate,Lauraceae,1
Persea americana,Introducido,Camote,aguacate,Lauraceae,2
Persea americana,Introducido,El Carmen,aguacate,Lauraceae,2
Persea americana,Introducido,Cascajo,aguacate,Lauraceae,5
Persea americana,Introducido,Occidente,aguacate,Lauraceae,4
Persea americana,Introducido,Guayabillos,aguacate,Lauraceae,3
Persea americana,Introducido,Media Luna,aguacate,Lauraceae,3
Persea americana,Introducido,Santa Rosa,aguacate,Lauraceae,7
Persicaria punctata,Nativo,Santa Rosa,"chilillo, tamaiza, picantilla",Polygonaceae,1
Persiciaria hydropiperioides,Nativo,Santa Rosa,NA,Polygonaceae,3
Petroselinum crispum,Introducido,Bellavista,perejil,Apiaceae,3
Petroselinum crispum,Introducido,Aguacatal,perejil,Apiaceae,1
Petroselinum crispum,Introducido,Camote,perejil,Apiaceae,1
Petroselinum crispum,Introducido,El Carmen,perejil,Apiaceae,2
Petroselinum crispum,Introducido,Cascajo,perejil,Apiaceae,6
Petroselinum crispum,Introducido,Occidente,perejil,Apiaceae,4
Petroselinum crispum,Introducido,Guayabillos,perejil,Apiaceae,2
Petroselinum crispum,Introducido,Media Luna,perejil,Apiaceae,1
Petroselinum crispum,Introducido,Santa Rosa,perejil,Apiaceae,4
Phaseolus lunatus,Introducido,Cascajo,habichuela,Fabaceae,1
Phaseolus lunatus,Introducido,Occidente,habichuela,Fabaceae,1
Phaseolus lunatus,Introducido,Media Luna,habichuela,Fabaceae,1
Phaseolus lunatus,Introducido,Santa Rosa,habichuela,Fabaceae,2
Phaseolus vulgaris,Introducido,Bellavista,"vainita, fréjol, fréjol pata de paloma, fréjol barrero, cuarentón",Fabaceae,3
Phaseolus vulgaris,Introducido,Camote,"vainita, fréjol, fréjol pata de paloma, fréjol barrero, cuarentón",Fabaceae,2
Phaseolus vulgaris,Introducido,El Carmen,"vainita, fréjol, fréjol pata de paloma, fréjol barrero, cuarentón",Fabaceae,1
Phaseolus vulgaris,Introducido,Cascajo,"vainita, fréjol, fréjol pata de paloma, fréjol barrero, cuarentón",Fabaceae,4
Phaseolus vulgaris,Introducido,Occidente,"vainita, fréjol, fréjol pata de paloma, fréjol barrero, cuarentón",Fabaceae,4
Phaseolus vulgaris,Introducido,Guayabillos,"vainita, fréjol, fréjol pata de paloma, fréjol barrero, cuarentón",Fabaceae,2
Phaseolus vulgaris,Introducido,Media Luna,"vainita, fréjol, fréjol pata de paloma, fréjol barrero, cuarentón",Fabaceae,2
Phaseolus vulgaris,Introducido,Santa Rosa,"vainita, fréjol, fréjol pata de paloma, fréjol barrero, cuarentón",Fabaceae,7
Philodendron bipinnatifidum,Introducido,Bellavista,"costilla de Adán, banano de mono, filodendro paraguayo",Araceae,1
Phlebodium pseudoaureum,Nativo,Camote,helecho,Polypodiaceae,2
Phlebodium pseudoaureum,Nativo,Occidente,helecho,Polypodiaceae,1
Phlebodium pseudoaureum,Nativo,Media Luna,helecho,Polypodiaceae,1
Phlebodium pseudoaureum,Nativo,Santa Rosa,helecho,Polypodiaceae,6
Phoradendron berteroanum,Endémico,Bellavista,suelda con suelda,Viscaceae,1
Phoradendron berteroanum,Endémico,Camote,suelda con suelda,Viscaceae,1
Phyla strigulosa,Nativo,Bellavista,cordoncillo,Verbenaceae,1
Phyla strigulosa,Nativo,El Carmen,cordoncillo,Verbenaceae,1
Phyla strigulosa,Nativo,Cascajo,cordoncillo,Verbenaceae,3
Phyla strigulosa,Nativo,Guayabillos,cordoncillo,Verbenaceae,1
Phyllanthus acidus,Introducido,Bellavista,grosella,Euphorbiaceae,2
Phyllanthus acidus,Introducido,Aguacatal,grosella,Euphorbiaceae,1
Phyllanthus acidus,Introducido,Cascajo,grosella,Euphorbiaceae,2
Phyllanthus acidus,Introducido,Guayabillos,grosella,Euphorbiaceae,1
Phyllanthus caroliniensis,Introducido,Camote,NA,Euphorbiaceae,3
Phyllanthus caroliniensis,Introducido,El Carmen,NA,Euphorbiaceae,3
Phyllanthus caroliniensis,Introducido,Cascajo,NA,Euphorbiaceae,4
Phyllanthus caroliniensis,Introducido,Guayabillos,NA,Euphorbiaceae,2
Phyllanthus caroliniensis,Introducido,Media Luna,NA,Euphorbiaceae,1
Phyllanthus caroliniensis,Introducido,Santa Rosa,NA,Euphorbiaceae,5
Phyllanthus cf. niruri,Introducido,El Carmen,NA,Euphorbiaceae,1
Phyllanthus cf. niruri,Introducido,Guayabillos,NA,Euphorbiaceae,2
Physalis angulata,Nativo,Bellavista,NA,Solanaceae,2
Physalis angulata,Nativo,Aguacatal,NA,Solanaceae,1
Physalis angulata,Nativo,Camote,NA,Solanaceae,1
Physalis angulata,Nativo,Cascajo,NA,Solanaceae,3
Physalis angulata,Nativo,Media Luna,NA,Solanaceae,1
Physalis pubescens,Nativo,Occidente,"aguaymanto, capulí, tomatillo",Solanaceae,1
Phytelephas aequatorialis,Introducido,Santa Rosa,tagua,Arecaceae,1
Pilea baurii,Endémico,Bellavista,ortiga,Urticaceae,4
Pilea baurii,Endémico,Camote,ortiga,Urticaceae,2
Pilea baurii,Endémico,El Carmen,ortiga,Urticaceae,3
Pilea baurii,Endémico,Cascajo,ortiga,Urticaceae,8
Pilea baurii,Endémico,Occidente,ortiga,Urticaceae,3
Pilea baurii,Endémico,Guayabillos,ortiga,Urticaceae,1
Pilea baurii,Endémico,Media Luna,ortiga,Urticaceae,2
Pilea baurii,Endémico,Santa Rosa,ortiga,Urticaceae,7
Pilea depressa,Introducido,Occidente,NA,Urticaceae,1
Pilea depressa,Introducido,Guayabillos,NA,Urticaceae,1
Pilea microphylla,Introducido,Bellavista,"banixu, berrillo,mariposa",Urticaceae,3
Pilea microphylla,Introducido,Aguacatal,"banixu, berrillo,mariposa",Urticaceae,1
Pilea microphylla,Introducido,El Carmen,"banixu, berrillo,mariposa",Urticaceae,3
Pilea microphylla,Introducido,Cascajo,"banixu, berrillo,mariposa",Urticaceae,2
Pilea microphylla,Introducido,Occidente,"banixu, berrillo,mariposa",Urticaceae,3
Pilea microphylla,Introducido,Guayabillos,"banixu, berrillo,mariposa",Urticaceae,1
Pilea microphylla,Introducido,Media Luna,"banixu, berrillo,mariposa",Urticaceae,1
Pilea microphylla,Introducido,Santa Rosa,"banixu, berrillo,mariposa",Urticaceae,4
Piper aduncum,Introducido,Santa Rosa,"matico, hierba del soldado, achotlín",Piperaceae,1
Piper peltatum,Introducido,Bellavista,"cachimuela, Santa María, cordoncillo",Piperaceae,2
Piper peltatum,Introducido,Aguacatal,"cachimuela, Santa María, cordoncillo",Piperaceae,1
Piper peltatum,Introducido,Camote,"cachimuela, Santa María, cordoncillo",Piperaceae,2
Piper peltatum,Introducido,El Carmen,"cachimuela, Santa María, cordoncillo",Piperaceae,4
Piper peltatum,Introducido,Cascajo,"cachimuela, Santa María, cordoncillo",Piperaceae,2
Piper peltatum,Introducido,Occidente,"cachimuela, Santa María, cordoncillo",Piperaceae,2
Piper peltatum,Introducido,Guayabillos,"cachimuela, Santa María, cordoncillo",Piperaceae,1
Piper peltatum,Introducido,Media Luna,"cachimuela, Santa María, cordoncillo",Piperaceae,3
Piper peltatum,Introducido,Santa Rosa,"cachimuela, Santa María, cordoncillo",Piperaceae,7
Piscidia carthagenensis,Nativo,Bellavista,matazarno,Fabaceae,1
Piscidia carthagenensis,Nativo,Camote,matazarno,Fabaceae,1
Piscidia carthagenensis,Nativo,Cascajo,matazarno,Fabaceae,2
Pisonia floribunda,Endémico,Bellavista,pega pega,Nyctaginaceae,1
Pisonia floribunda,Endémico,Camote,pega pega,Nyctaginaceae,1
Pisum sativum,Introducido,Camote,"arveja, alverja",Fabaceae,1
Pisum sativum,Introducido,Cascajo,"arveja, alverja",Fabaceae,3
Pisum sativum,Introducido,Occidente,"arveja, alverja",Fabaceae,1
Pisum sativum,Introducido,Santa Rosa,"arveja, alverja",Fabaceae,3
Pityrogramma calomelanos,Nativo,Camote,helecho con cera,Pteridaceae,1
Pityrogramma calomelanos,Nativo,El Carmen,helecho con cera,Pteridaceae,3
Pityrogramma calomelanos,Nativo,Occidente,helecho con cera,Pteridaceae,1
Pityrogramma calomelanos,Nativo,Media Luna,helecho con cera,Pteridaceae,1
Pityrogramma calomelanos,Nativo,Santa Rosa,helecho con cera,Pteridaceae,1
Plantago major,Introducido,Bellavista,llantén,Plantaginaceae,4
Plantago major,Introducido,Camote,llantén,Plantaginaceae,2
Plantago major,Introducido,El Carmen,llantén,Plantaginaceae,2
Plantago major,Introducido,Cascajo,llantén,Plantaginaceae,2
Plantago major,Introducido,Occidente,llantén,Plantaginaceae,1
Plantago major,Introducido,Media Luna,llantén,Plantaginaceae,2
Plantago major,Introducido,Santa Rosa,llantén,Plantaginaceae,6
Plectranthus unguentarius,Introducido,Bellavista,orégano grande,Lamiaceae,2
Plectranthus unguentarius,Introducido,Camote,orégano grande,Lamiaceae,1
Plectranthus unguentarius,Introducido,El Carmen,orégano grande,Lamiaceae,1
Plectranthus unguentarius,Introducido,Cascajo,orégano grande,Lamiaceae,4
Plectranthus unguentarius,Introducido,Occidente,orégano grande,Lamiaceae,3
Plectranthus unguentarius,Introducido,Guayabillos,orégano grande,Lamiaceae,2
Plectranthus unguentarius,Introducido,Media Luna,orégano grande,Lamiaceae,2
Plectranthus unguentarius,Introducido,Santa Rosa,orégano grande,Lamiaceae,6
Plectranthus verticillatus,Introducido,Camote,"planta moneda, planta del dinero",Lamiaceae,1
Pleopeltis macrocarpa,Nativo,Bellavista,helecho,Polypodiaceae,2
Pleopeltis macrocarpa,Nativo,Camote,helecho,Polypodiaceae,2
Pleopeltis macrocarpa,Nativo,El Carmen,helecho,Polypodiaceae,2
Pleopeltis macrocarpa,Nativo,Cascajo,helecho,Polypodiaceae,3
Pleopeltis macrocarpa,Nativo,Occidente,helecho,Polypodiaceae,2
Pleopeltis macrocarpa,Nativo,Media Luna,helecho,Polypodiaceae,2
Pleopeltis macrocarpa,Nativo,Santa Rosa,helecho,Polypodiaceae,7
Pleuropetalum darwinii,Endémico,Bellavista,perlas negras,Amaranthaceae,1
Pleuropetalum darwinii,Endémico,Guayabillos,perlas negras,Amaranthaceae,2
Plumbago auriculata,Introducido,Bellavista,"plumbago del cabo, jazmín azul",Plumbaginaceae,1
Plumbago auriculata,Introducido,Camote,"plumbago del cabo, jazmín azul",Plumbaginaceae,1
Plumbago auriculata,Introducido,Guayabillos,"plumbago del cabo, jazmín azul",Plumbaginaceae,1
Plumbago zeylanica,Nativo,Camote,"plumbago del cabo, jazmín azul",Plumbaginaceae,1
Plumbago zeylanica,Nativo,Occidente,"plumbago del cabo, jazmín azul",Plumbaginaceae,1
Plumeria pudica,Introducido,Bellavista,NA,Apocynaceae,1
Polygonum hydropiperoides var. persicarioides,Desconocido,El Carmen,NA,Polygonaceae,1
Polypodium insularum,Endémico,Bellavista,helecho,Polypodiaceae,2
Polypodium insularum,Endémico,Camote,helecho,Polypodiaceae,1
Polypodium insularum,Endémico,El Carmen,helecho,Polypodiaceae,3
Polypodium insularum,Endémico,Cascajo,helecho,Polypodiaceae,3
Polypodium insularum,Endémico,Occidente,helecho,Polypodiaceae,3
Polypodium insularum,Endémico,Guayabillos,helecho,Polypodiaceae,1
Polypodium insularum,Endémico,Media Luna,helecho,Polypodiaceae,2
Polypodium insularum,Endémico,Santa Rosa,helecho,Polypodiaceae,5
Polypodium steirolepis,Nativo,Camote,helecho,Polypodiaceae,2
Polypodium steirolepis,Nativo,Santa Rosa,helecho,Polypodiaceae,1
Polypodium tridens,Endémico,Bellavista,helecho rústico,Polypodiaceae,2
Polypodium tridens,Endémico,Camote,helecho rústico,Polypodiaceae,3
Polypodium tridens,Endémico,El Carmen,helecho rústico,Polypodiaceae,3
Polypodium tridens,Endémico,Cascajo,helecho rústico,Polypodiaceae,2
Polypodium tridens,Endémico,Guayabillos,helecho rústico,Polypodiaceae,1
Polypodium tridens,Endémico,Santa Rosa,helecho rústico,Polypodiaceae,5
Polyscias fruticosa,Introducido,Bellavista,NA,Araliaceae,1
Polyscias fruticosa,Introducido,El Carmen,NA,Araliaceae,1
Polyscias fruticosa,Introducido,Cascajo,NA,Araliaceae,1
Polyscias fruticosa,Introducido,Occidente,NA,Araliaceae,1
Polyscias fruticosa,Introducido,Santa Rosa,NA,Araliaceae,1
Polyscias guilfoylei,Introducido,Guayabillos,millón,Araliaceae,1
Polyscias scutellaria,Introducido,El Carmen,NA,Araliaceae,1
Polyscias scutellaria,Introducido,Cascajo,NA,Araliaceae,1
Porophyllum ruderale ssp. macrocephalum,Introducido,Camote,ruda de gallinazo,Asteraceae,2
Porophyllum ruderale ssp. macrocephalum,Introducido,El Carmen,ruda de gallinazo,Asteraceae,2
Porophyllum ruderale ssp. macrocephalum,Introducido,Cascajo,ruda de gallinazo,Asteraceae,4
